ETF,n_observations,mean_return_daily,mean_return_annualized,volatility_daily,volatility_annualized,min_return,max_return,median_return,skewness,kurtosis,excess_kurtosis,is_leptokurtic,is_negatively_skewed,adf_statistic,adf_pvalue,adf_stationary,kpss_statistic,kpss_pvalue,kpss_stationary,acf_lag1,acf_lag5,acf_lag10,acf_lag20,pacf_lag1,pacf_lag5,pacf_lag10,pacf_lag20,ljung_box_pvalue,has_autocorrelation,arch_effect_lag1,arch_effect_lag5,has_volatility_clustering,volatility_persistence_ratio,regime_shift_tstat,regime_shift_pvalue,has_regime_shift,regime_volatility_ratio,nonlinearity_correlation,has_nonlinearity,market_beta,market_alpha,market_correlation,market_rsquared
SPY,4728,0.04839653890110088,12.19592780307742,1.2486567226253675,19.821810965734084,-10.942385167268863,14.51982427723304,0.0704815099252909,0.004446425606337714,14.468451840280206,11.468451840280206,True,False,-17.22095322488894,6.280429950984457e-30,True,0.04550052114560446,0.1,True,-0.10671715515623903,-0.012708113838085826,-0.005231915032893293,0.020392122644524873,-0.106739731241527,-0.021479817456875546,-0.0020951746613601225,0.026134770957107867,9.933837660159498e-16,True,0.25413178257887264,0.2864782577368307,True,0.8536958925594438,-0.7492020701705037,0.45377270958632754,False,0.8536958925594438,0.020195419752796533,False,1.0,0.0,1.0,1.0
QQQ,4728,0.0691539170969472,17.4267871084307,1.4057024708171373,22.314834930787054,-11.978778584721027,12.164740339391034,0.11905536910393755,-0.05816655148459869,7.603746828317465,4.603746828317465,True,True,-17.50780807342401,4.3510592999044644e-30,True,0.032367128550590554,0.1,True,-0.09062804954100302,0.002411774707901073,-0.010054690977397416,0.012007537011094407,-0.09064722196527657,-0.003817553304611019,-0.0033420723041847206,0.016944549897035973,4.160247935216115e-15,True,0.2822526676795994,0.23366980792339975,True,1.0250980083832104,-0.7226594786868663,0.4699248752013298,False,1.0250980083832104,0.012984256821061762,False,1.0402953054152742,0.018807224879784215,0.9240730194258662,0.8539109452308373
IWM,4728,0.042858809333162655,10.800419951956988,1.5665069055625198,24.86752619510263,-13.266929293576313,9.149173464201855,0.09601557962144458,-0.3222474395168571,6.135206599223675,3.1352065992236753,True,True,-15.589866284344383,1.886088844076638e-28,True,0.03415565173890605,0.1,True,-0.0752663195540725,-0.013191575246968694,0.021332777564019852,0.03721615278666547,-0.07528224219413049,-0.02035338871738428,0.023562494043073402,0.039840273182845595,1.1261367499653605e-08,True,0.3026959643973442,0.3086301327703355,True,0.8813479095725029,-0.22488668690931582,0.8220771489595396,False,0.8813479095725029,-0.09398088930731982,False,1.1223421224887025,-0.011458664858205986,0.8946146559295909,0.8003353826040212
EFA,4728,0.026780168827485074,6.748602544526237,1.3716890065410674,21.77488792457349,-11.163181178763459,15.887631804799994,0.06932130809033099,-0.035849501916430014,13.933922851919235,10.933922851919235,True,True,-15.158553189131096,6.640850914413326e-28,True,0.03294563159528686,0.1,True,-0.11386308733363687,-0.006431788258646045,-0.010271661454885105,0.03711257535545441,-0.11388717514563894,-0.011074637748656026,-0.013743279368374713,0.042850164719700365,1.1065004954724906e-11,True,0.24221014407374095,0.3034936168341863,True,0.6578785683259236,-0.6808736220641805,0.495984817219717,False,0.6578785683259236,0.0008020964698858195,False,0.9748391180076059,-0.020398670469484896,0.8874018909343341,0.7874821160338323
EEM,4728,0.032070612094160435,8.081794247728427,1.7614825978467772,27.962669356023433,-16.1661737672394,22.769879979208362,0.07929280973610897,0.5891439752394318,19.32787717685662,16.32787717685662,True,False,-13.219412133428012,1.0088696041141034e-24,True,0.04127973913394442,0.1,True,-0.12501922276564328,-0.008912546893378077,0.004025165278504248,0.024542758138694824,-0.1250456706655302,-0.018852594363959984,-0.0008113829937204628,0.03432056873940094,3.673574578861042e-18,True,0.1941633324483648,0.302476188918819,True,0.5915085493805786,-0.19060954659129434,0.8488396973038314,False,0.5915085493805786,0.13531500367169216,True,1.165407490770675,-0.024331076868556883,0.8261188045386223,0.682472279212322
VGK,4728,0.029894021236154276,7.533293351510877,1.4900761668960019,23.654225832907184,-11.778176105823935,14.190713571982094,0.07540507716338185,-0.3351975256157426,10.339165989558218,7.339165989558218,True,True,-15.261623093102003,4.851890894815068e-28,True,0.032284093875177146,0.1,True,-0.10407519436484433,-0.011599233637599333,-0.017279534442352133,0.03206411485260702,-0.10409721154156636,-0.013788850555806902,-0.01794345179316438,0.03755632799999118,5.538676558234115e-12,True,0.24651980742377466,0.28104539515146043,True,0.6633467096174478,-0.6673784016083535,0.5045630429394515,False,0.6633467096174478,-0.08408652715359768,False,1.0266400912190228,-0.01979180587595691,0.8603057213429169,0.7401259341753572
VPL,4728,0.026761427969112125,6.743879848216255,1.2796098134503637,20.313176049524493,-10.76039128550409,14.988532826311207,0.06058740166392518,0.08011867917430526,12.929178848650778,9.929178848650778,True,False,-15.28824120975094,4.4800476251754385e-28,True,0.03820899986773799,0.1,True,-0.10993489719948303,-0.005101788106399228,-0.0028069154710162773,0.03356751074154122,-0.10995815400024447,-0.006378083043516934,-0.005557997335652097,0.03905676105717766,1.5190707674204523e-10,True,0.24340551698233306,0.32905988748595105,True,0.722624588308939,-0.6387904087771105,0.5229902442254516,False,0.722624588308939,0.0315531711034458,False,0.8746559498182495,-0.015568892731346097,0.8534984807438716,0.7284596566320974
LQD,4728,0.018001386672481096,4.536349441465237,0.5609754190456447,8.905208702490135,-9.111079221283102,9.767694350050515,0.04164444653849131,0.04183124634187974,56.472298023669254,53.472298023669254,True,False,-12.982148379979371,2.9285187762086092e-24,True,0.032735121404456405,0.1,True,0.0024576099259637175,0.014453405003332321,-0.06400457513082683,-0.010111674443984585,0.0024581298349812784,0.015619662383656295,-0.059538159272386405,-0.014812445659580117,2.21215759059772e-15,True,0.4795741574346775,0.10164722339243584,True,0.9858046443958483,0.9032701161688479,0.36642858949573526,False,0.9858046443958483,0.013863242970734773,False,0.08909853944007576,0.013689325742438203,0.19832150655945194,0.039331419964010794
HYG,4728,0.02175626800720771,5.482579537816343,0.6922510843237534,10.989145283612729,-8.097428100873183,12.26882830666225,0.03201812877721144,0.7479888563106938,42.445057852323615,39.445057852323615,True,False,-12.822169187325354,6.1202413930055886e-24,True,0.034667752838313255,0.1,True,0.0014055528782117635,0.006608225840054167,-0.06427665424180044,-0.029162260902468106,0.0014058502238597787,0.008235752737383124,-0.06959213914998037,-0.023017919271963304,6.631417659050965e-20,True,0.29032679790468,0.14469267174777256,True,0.6414410520825392,0.23398682684584415,0.8150053405418055,False,0.6414410520825392,0.12149311139330878,True,0.37767352608317933,0.003478176510207194,0.6812334396876693,0.46407899934869334
TLT,4728,0.017018755600462284,4.288726411316496,0.9610315821451179,15.255903410609543,-6.668289357315382,7.51960976721513,0.048879831906500915,0.079496075536434,3.1644555273927875,0.16445552739278746,True,False,-13.371597794911878,5.184779180609484e-25,True,0.033511704696363824,0.1,True,-0.029168277536274094,-0.0055716583515410196,0.030305448890979088,0.014035931862494154,-0.02917444810482419,-0.009191645734222147,0.027767098925796,0.018722475807337123,1.2374754134690446e-05,True,0.3679167811777952,0.2290731954265838,True,0.9792775614855922,1.5162006829782018,0.12953549569261738,False,0.9792775614855922,0.05053410249228968,False,-0.24314718417707912,0.028786237758181444,-0.31591819847632513,0.09980430812852681
